project_id,spp_number,spp_title,title,full_title,principal_investigator,institution,funding_period,abstract,keywords,dfg_classification,url,wearables_score,ai_score,combined_score,matched_wearables_keywords,matched_ai_keywords
424608471,SPP 2206,Kooperative mehrstufige multistabile Mikroaktorsysteme (KOMMMA),DECMAS Phase 2: Dielektrische Elastomer-Membranen für kooperative Mikro-Aktor/Sensor-Konzepte,,,,Förderung seit 2019,,,,https://gepris.dfg.de/gepris/projekt/424608471,7.0,0.0,7.0,"aktor, elastomer, sensor",
403154513,SPP 2111,Integrierte Elektronisch-Photonische Systeme für die Ultrabreitbandige Signalverarbeitung,Flexible Elektronisch-Photonisch Integrierte Sensor Plattform II [EPIC-Sense II],,,,Förderung von 2018 bis 2023,,,,https://gepris.dfg.de/gepris/projekt/403154513,5.5,0.0,5.5,"flexible, sensor",
346973239,SPP 2014,Auf dem Weg zur implantierbaren Lunge,"Ein systematischer Forschungsansatz für eine verbesserte Patient-Medizinprodukt-Konnektierung, die hilft eine Langzeit-Lungenunterstützung zu ermöglichen (ConnLA)",,,,Förderung von 2017 bis 2023,,,,https://gepris.dfg.de/gepris/projekt/346973239,3.0,0.0,3.0,patient,
501840485,SPP 2353,Mehr Intelligenz wagen – Entwurfsassistenten in Mechanik und Dynamik,Daten- und Antwortflächen-gesteuerter Entwurfsassistent für geregelte flexible Mehrkörpersysteme,,,,Förderung seit 2022,,,,https://gepris.dfg.de/gepris/projekt/501840485,3.0,0.0,3.0,flexible,
564756364,SPP 2493,Heterotypische Zell-Zell-Interaktionen in epithelialen Geweben (HetCCI),Age-related changes in Epithelial – T cell interaction impair lung regenerative capacity,,,,Förderung seit 2025,,,,https://gepris.dfg.de/gepris/projekt/564756364,3.0,0.0,3.0,lung,
347367258,SPP 2014,Auf dem Weg zur implantierbaren Lunge,HIL-Lung - Hardware-in-the-Loop Simulationsumgebung für künstliche Lungen,,,,Förderung von 2017 bis 2023,,,,https://gepris.dfg.de/gepris/projekt/347367258,3.0,0.0,3.0,lung,
405032227,SPP 2100,Soft Material Robotic Systems,Dielektrische Elastomere Phase 2: Aktor-/Sensorkonzepte aus weichen Materialien für dreidimensionale Soft-Robotik-Systeme,,,,Förderung seit 2019,,,,https://gepris.dfg.de/gepris/projekt/405032227,2.5,0.0,2.5,aktor,
399299380,SPP 2127,Gen- und Zellbasierte Therapien für die Behandlung neuroretinaler Degeneration,Ein Multiplexing-CRISPRa-Ansatz für die genunabhängige Therapie der Netzhautdegeneration,,,,Förderung seit 2018,,,,https://gepris.dfg.de/gepris/projekt/399299380,2.5,0.0,2.5,therapie,
47468573,SPP 1294,"Bereich Infrastruktur - Atmospheric and Earth system research with the ""High Altitude and Long Range Research Aircraft"" (HALO)",A novel modular multi-sensor dropsonde system for HALO,,,,Förderung von 2007 bis 2010,,,,https://gepris.dfg.de/gepris/projekt/47468573,2.5,0.0,2.5,sensor,
468776767,SPP 2314,Integrierte Terahertz-Systeme mit neuartiger Funktionalität (INTEREST),"Mikrofluidischer Aktiv-Rückgekoppelter THz Biosensor für Direkte, Sensitive und Selektive Exosom- und Virusdetektion in wässrigen Umgebungen (""MATISSE"")",,,,Förderung seit 2022,,,,https://gepris.dfg.de/gepris/projekt/468776767,2.5,0.0,2.5,biosensor,
541297978,SPP 2451,Lebende Materialien mit adaptiven Funktionen,Living Plasmonics: Verteilte Umweltsensorik mit photolumineszenten Sensor-ELM durch enzymatische Kopplung bakterieller Sensorik mit Nanoplasmonik,,,,Förderung seit 2024,,,,https://gepris.dfg.de/gepris/projekt/541297978,2.5,0.0,2.5,sensor,
462668222,SPP 2312,"Energieeffiziente Leistungselektronik ""GaNius""",Leistungsbewertung von weich- und hartgeschalteten Wechselrichtern auf der Grundlage monolithisch integrierter bidirektionaler GaN-Bauelemente,,,,Förderung seit 2021,,,,https://gepris.dfg.de/gepris/projekt/462668222,2.5,0.0,2.5,weich,
347325977,SPP 2041,Computational Connectomics,Clinical Connectomics: Ein Netzwerkansatz zur tiefen Hirnstimulation,,,,Förderung von 2017 bis 2025,,,,https://gepris.dfg.de/gepris/projekt/347325977,2.5,0.0,2.5,clinical,
527901380,SPP 2237,MAdLand - Molekulare Adaptation an das Land: Evolutionäre Anpassung der Pflanzen an Veränderung,Funktion und evolutionäre Anpassung von CBL/CIPK Ca2+-Sensor/Kinase Komplexen als Anpassung an die terrestrische Umgebung.,,,,Förderung seit 2023,,,,https://gepris.dfg.de/gepris/projekt/527901380,2.5,0.0,2.5,sensor,
399487883,SPP 2127,Gen- und Zellbasierte Therapien für die Behandlung neuroretinaler Degeneration,Untersuchungen mit der adaptiven Optik in Neurodegeneration der Netzhaut: neue morphologische Biomarker und zelluläre / vaskuläre Reaktion nach der Therapie,,,,Förderung von 2018 bis 2023,,,,https://gepris.dfg.de/gepris/projekt/399487883,2.5,0.0,2.5,therapie,
